SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2019-20,201162,Jared Dudley,Jared,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,1.45,0.0,0.0,0.0,0.0,0.0,49.7,0.0,99.3,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1644,745,608,570,1152,1,1691,1,8,511,1,1,1171,1602,1,1:27
2019-20,203076,Anthony Davis,Anthony,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,35.1,4.1,6.2,0.0,8.2,12.3,2.1,8.2,26.7,2.1,2.1,4.1,5.1,48.7,1,1,1,1,380,321,123,570,440,988,324,1015,1050,172,1536,1136,322,175,1,35:06
2019-20,1627936,Alex Caruso,Alex,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,32.7,0.0,2.2,2.2,4.4,8.8,3.3,6.6,28.6,1.1,1.1,2.2,0.0,22.1,1,1,1,1,495,745,459,430,841,634,398,838,936,377,1326,640,1171,1188,1,32:42
2019-20,203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,33.43333333333333,5.4,5.4,2.2,6.5,15.1,4.3,6.5,36.6,0.0,0.0,5.4,3.2,22.0,1,1,1,1,462,205,160,444,601,1238,503,815,436,511,1,1372,624,1193,1,33:26
2019-20,201609,Goran Dragic,Goran,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,18.926666666666666,0.0,1.9,0.0,7.6,5.7,7.6,3.8,34.2,0.0,0.0,5.7,1.9,30.4,1,853,853,853,1083,745,519,570,485,340,861,502,562,511,1,1406,925,788,1,18:56
2019-20,203482,Kelly Olynyk,Kelly,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,14.866666666666667,0.0,9.7,0.0,14.5,4.8,9.7,0.0,19.4,2.4,0.0,2.4,0.0,49.4,1,853,853,853,1220,745,34,570,125,291,1097,1,1429,143,1,692,1171,166,1,14:52
2019-20,1629130,Duncan Robinson,Duncan,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,34.17,3.2,0.0,0.0,0.0,21.1,14.7,14.7,44.2,0.0,0.0,3.2,2.1,14.4,1,853,853,853,429,443,608,570,1152,1532,1443,1462,157,511,1,901,869,1444,1,34:10
2019-20,1629134,Kendrick Nunn,Kendrick,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,12.743333333333334,8.5,0.0,8.5,5.7,19.8,31.1,11.3,50.9,0.0,5.7,0.0,0.0,31.4,1,853,853,853,1295,57,608,39,696,1490,1677,1279,69,511,1674,1,1171,749,1,12:45
2019-20,201980,Danny Green,Danny,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,24.566666666666666,0.0,4.4,0.0,2.9,4.4,0.0,2.9,23.4,1.5,0.0,2.9,0.0,31.5,1,1,1,1,860,745,227,570,1004,271,1,427,1237,277,1,838,1171,737,1,24:34
2019-20,203109,Jae Crowder,Jae,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,27.666666666666668,2.6,0.0,0.0,5.2,16.9,9.1,18.2,39.0,0.0,0.0,5.2,6.5,27.7,1,853,853,853,724,539,608,570,763,1371,1037,1565,318,511,1,1348,184,916,1,27:40
