Season,Lg,Player,Voting,Age,Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,-9999,award,Coach,W,L,W/L%,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Games
2007-08,NBA,Manu Ginóbili,(V),30.0,SAS,74.0,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,ginobma01,6oty,,,,,,,,,,
2006-07,NBA,Leandro Barbosa,(V),24.0,PHO,80.0,32.7,18.1,2.7,4.0,1.2,0.2,0.476,0.434,0.845,8.2,0.151,barbole01,6oty,,,,,,,,,,
2005-06,NBA,Mike Miller,(V),25.0,MEM,74.0,30.6,13.7,5.4,2.7,0.7,0.4,0.466,0.407,0.8,7.4,0.157,millemi01,6oty,,,,,,,,,,
2004-05,NBA,Ben Gordon,(V),21.0,CHI,82.0,24.4,15.1,2.6,2.0,0.6,0.1,0.411,0.405,0.863,3.5,0.084,gordobe01,6oty,,,,,,,,,,
2003-04,NBA,Antawn Jamison,(V),27.0,DAL,82.0,29.0,14.8,6.3,0.9,1.0,0.4,0.535,0.4,0.748,9.0,0.183,jamisan01,6oty,,,,,,,,,,
2002-03,NBA,Bobby Jackson,(V),29.0,SAC,59.0,28.4,15.2,3.7,3.1,1.2,0.1,0.464,0.379,0.846,5.5,0.157,jacksbo01,6oty,,,,,,,,,,
2001-02,NBA,Corliss Williamson,(V),28.0,DET,78.0,21.8,13.6,4.1,1.2,0.6,0.3,0.51,0.2,0.805,5.1,0.144,willico02,6oty,,,,,,,,,,
2000-01,NBA,Aaron McKie,(V),28.0,PHI,76.0,31.5,11.6,4.1,5.0,1.4,0.1,0.473,0.312,0.768,5.9,0.118,mckieaa01,6oty,,,,,,,,,,
1999-00,NBA,Rodney Rogers,(V),28.0,PHO,82.0,27.9,13.8,5.5,2.1,1.1,0.6,0.486,0.439,0.639,7.4,0.154,rogerro01,6oty,,,,,,,,,,
1998-99,NBA,Darrell Armstrong,(V),30.0,ORL,50.0,30.0,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205,armstda01,6oty,,,,,,,,,,
1997-98,NBA,Danny Manning,(V),31.0,PHO,70.0,25.6,13.5,5.6,2.0,1.0,0.7,0.516,0.0,0.739,6.5,0.174,mannida01,6oty,,,,,,,,,,
1996-97,NBA,John Starks,(V),31.0,NYK,77.0,26.5,13.8,2.7,2.8,1.2,0.1,0.431,0.369,0.769,5.8,0.136,starkjo01,6oty,,,,,,,,,,
1995-96,NBA,Toni Kukoč,(V),27.0,CHI,81.0,26.0,13.1,4.0,3.5,0.8,0.3,0.49,0.403,0.772,10.1,0.231,kukocto01,6oty,,,,,,,,,,
1994-95,NBA,Anthony Mason,(V),28.0,NYK,77.0,32.4,9.9,8.4,3.1,0.9,0.3,0.566,0.0,0.641,8.6,0.166,masonan01,6oty,,,,,,,,,,
1993-94,NBA,Dell Curry,(V),29.0,CHH,82.0,26.5,16.3,3.2,2.7,1.2,0.3,0.455,0.402,0.873,5.0,0.11,curryde01,6oty,,,,,,,,,,
1992-93,NBA,Clifford Robinson,(V),26.0,POR,82.0,31.4,19.1,6.6,2.2,1.2,2.0,0.473,0.247,0.69,6.8,0.127,robincl02,6oty,,,,,,,,,,
1991-92,NBA,Detlef Schrempf,(V),29.0,IND,80.0,32.6,17.3,9.6,3.9,0.8,0.5,0.536,0.324,0.828,9.8,0.181,schrede01,6oty,,,,,,,,,,
1990-91,NBA,Detlef Schrempf,(V),28.0,IND,82.0,32.1,16.1,8.0,3.7,0.7,0.3,0.52,0.375,0.818,9.0,0.165,schrede01,6oty,,,,,,,,,,
1989-90,NBA,Ricky Pierce,(V),30.0,MIL,59.0,29.0,23.0,2.8,2.3,0.8,0.1,0.51,0.346,0.839,5.8,0.163,piercri01,6oty,,,,,,,,,,
1988-89,NBA,Eddie Johnson,(V),29.0,PHO,70.0,29.2,21.5,4.4,2.3,0.7,0.1,0.497,0.413,0.868,6.5,0.152,johnsed03,6oty,,,,,,,,,,
1987-88,NBA,Roy Tarpley,(V),23.0,DAL,81.0,28.5,13.5,11.8,1.1,1.3,1.1,0.5,0.0,0.74,7.8,0.163,tarplro01,6oty,,,,,,,,,,
1986-87,NBA,Ricky Pierce,(V),27.0,MIL,79.0,31.7,19.5,3.4,1.8,0.8,0.3,0.534,0.107,0.88,9.4,0.18,piercri01,6oty,,,,,,,,,,
1985-86,NBA,Bill Walton,(V),33.0,BOS,80.0,19.3,7.6,6.8,2.1,0.5,1.3,0.562,,0.713,5.0,0.157,waltobi01,6oty,,,,,,,,,,
1984-85,NBA,Kevin McHale,(V),27.0,BOS,79.0,33.6,19.8,9.0,1.8,0.4,1.5,0.57,0.0,0.76,11.0,0.199,mchalke01,6oty,,,,,,,,,,
1983-84,NBA,Kevin McHale,(V),26.0,BOS,82.0,31.4,18.4,7.4,1.3,0.3,1.5,0.556,0.333,0.765,10.5,0.196,mchalke01,6oty,,,,,,,,,,
1982-83,NBA,Bobby Jones,,31.0,PHI,74.0,23.6,9.0,4.6,1.9,1.1,1.2,0.543,0.0,0.793,6.4,0.175,jonesbo01,6oty,,,,,,,,,,
1975-76,ABA,,,,DNA,84.0,,,,,,,,,,,,,aba_coty,Larry Brown,60.0,24.0,0.714,,,,,,
1974-75,ABA,,,,DNA,84.0,,,,,,,,,,,,,aba_coty,Larry Brown,65.0,19.0,0.774,,,,,,
1973-74,ABA,,,,UTS,84.0,,,,,,,,,,,,,aba_coty,Joe Mullaney (Tie),51.0,33.0,0.607,,,,,,
1973-74,ABA,,,,KEN,84.0,,,,,,,,,,,,,aba_coty,Babe McCarthy (Tie),53.0,31.0,0.631,,,,,,
1972-73,ABA,,,,CAR,84.0,,,,,,,,,,,,,aba_coty,Larry Brown,57.0,27.0,0.679,,,,,,
1971-72,ABA,,,,DLC,84.0,,,,,,,,,,,,,aba_coty,Tom Nissalke,42.0,42.0,0.5,,,,,,
1970-71,ABA,,,,VIR,84.0,,,,,,,,,,,,,aba_coty,Al Bianchi,55.0,29.0,0.655,,,,,,
1969-70,ABA,,,,LAS,84.0,,,,,,,,,,,,,aba_coty,Bill Sharman (Tie),43.0,41.0,0.512,,,,,,
1969-70,ABA,,,,DNR,56.0,,,,,,,,,,,,,aba_coty,Joe Belmont (Tie),42.0,14.0,0.75,,,,,,
1968-69,ABA,,,,OAK,78.0,,,,,,,,,,,,,aba_coty,Alex Hannum,60.0,18.0,0.769,,,,,,
1967-68,ABA,,,,PTP,78.0,,,,,,,,,,,,,aba_coty,Vince Cazzetta,54.0,24.0,0.692,,,,,,
2024-25,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Dyson Daniels,Luguentz Dort,Draymond Green,Evan Mobley,Amen Thompson,
2024-25,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Toumani Camara,Rudy Gobert,Jaren Jackson,Jalen Williams,Ivica Zubac,
2023-24,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Rudy Gobert,Victor Wembanyama,Bam Adebayo,Herbert Jones,Anthony Davis,
2023-24,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Alex Caruso,Jalen Suggs,Derrick White,Jaden McDaniels,Jrue Holiday,
2022-23,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Alex Caruso,Jrue Holiday,Jaren Jackson,Brook Lopez,Evan Mobley,
2022-23,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bam Adebayo,OG Anunoby,Dillon Brooks,Draymond Green,Derrick White,
2021-22,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Giannis Antetokounmpo,Mikal Bridges,Rudy Gobert,Jaren Jackson,Marcus Smart,
2021-22,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bam Adebayo,Draymond Green,Jrue Holiday,Matisse Thybulle,Robert Williams,
2020-21,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Rudy Gobert,Ben Simmons,Draymond Green,Jrue Holiday,Giannis Antetokounmpo,
2020-21,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bam Adebayo,Jimmy Butler,Joel Embiid,Matisse Thybulle,Kawhi Leonard,
2019-20,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Giannis Antetokounmpo,Anthony Davis,Ben Simmons,Rudy Gobert,Marcus Smart,
2019-20,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kawhi Leonard,Brook Lopez,Bam Adebayo,Patrick Beverley,Eric Bledsoe,
2018-19,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Rudy Gobert,Paul George,Giannis Antetokounmpo,Marcus Smart,Eric Bledsoe,
2018-19,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Jrue Holiday,Klay Thompson,Joel Embiid,Draymond Green,Kawhi Leonard,
2017-18,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Rudy Gobert,Anthony Davis,Victor Oladipo,Robert Covington,Jrue Holiday,
2017-18,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Joel Embiid,Draymond Green,Al Horford,Dejounte Murray,Jimmy Butler,
2016-17,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kawhi Leonard,Draymond Green,Rudy Gobert,Patrick Beverley,Chris Paul,
2016-17,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Tony Allen,Danny Green,Andre Roberson,Anthony Davis,Giannis Antetokounmpo,
2015-16,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kawhi Leonard,Draymond Green,DeAndre Jordan,Avery Bradley,Chris Paul,
2015-16,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Paul Millsap,Paul George,Hassan Whiteside,Tony Allen,Jimmy Butler,
2014-15,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kawhi Leonard,Draymond Green,Tony Allen,DeAndre Jordan,Chris Paul,
2014-15,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Anthony Davis,Jimmy Butler,Andrew Bogut,John Wall,Tim Duncan,
2013-14,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Joakim Noah,Paul George,Chris Paul,Serge Ibaka,Andre Iguodala,
2013-14,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,LeBron James,Patrick Beverley,Jimmy Butler,Kawhi Leonard,Roy Hibbert,
2012-13,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Tony Allen,Serge Ibaka,LeBron James,Chris Paul,Tyson Chandler Joakim Noah (T),
2012-13,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Avery Bradley,Mike Conley,Tim Duncan,Marc Gasol,Paul George,
2011-12,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Tony Allen,Dwight Howard,Serge Ibaka,LeBron James,Chris Paul,
2011-12,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Tyson Chandler,Luol Deng,Kevin Garnett,Rajon Rondo,
2010-11,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Rajon Rondo,
2010-11,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Tony Allen,Tyson Chandler,Andre Iguodala,Joakim Noah,Chris Paul,
2009-10,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Dwight Howard,LeBron James,Rajon Rondo,Gerald Wallace,
2009-10,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Tim Duncan,Thabo Sefolosha,Josh Smith,Anderson Varejão,Dwyane Wade,
2008-09,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Kevin Garnett,Dwight Howard,LeBron James,Chris Paul,
2008-09,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Metta World Peace,Shane Battier,Tim Duncan,Rajon Rondo,Dwyane Wade,
2007-08,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan,Kevin Garnett,
2007-08,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Shane Battier,Raja Bell,Dwight Howard,Chris Paul,Tayshaun Prince,
2006-07,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Raja Bell,Bruce Bowen,Kobe Bryant,Marcus Camby,Tim Duncan,
2006-07,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kevin Garnett,Kirk Hinrich,Jason Kidd,Tayshaun Prince,Ben Wallace,
2005-06,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Metta World Peace,Bruce Bowen,Andrei Kirilenko,Ben Wallace,Kobe Bryant Jason Kidd (T),
2005-06,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Chauncey Billups,Marcus Camby,Tim Duncan,Kevin Garnett,Tayshaun Prince,
2004-05,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Bruce Bowen,Tim Duncan,Kevin Garnett,Larry Hughes,Ben Wallace,
2004-05,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Chauncey Billups,Marcus Camby,Andrei Kirilenko,Tayshaun Prince,Jason Kidd Dwyane Wade (T),
2003-04,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Metta World Peace,Bruce Bowen,Kobe Bryant,Kevin Garnett,Ben Wallace,
2003-04,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Doug Christie,Tim Duncan,Jason Kidd,Andrei Kirilenko,Theo Ratliff,
2002-03,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Doug Christie,Tim Duncan,Kevin Garnett,Ben Wallace,
2002-03,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Metta World Peace,Bruce Bowen,Jason Kidd,Shaquille O'Neal,Eric Snow,
2001-02,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Tim Duncan,Kevin Garnett,Jason Kidd,Gary Payton,Ben Wallace,
2001-02,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bruce Bowen,Kobe Bryant,Doug Christie,Dikembe Mutombo,Clifford Robinson,
2000-01,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Tim Duncan,Kevin Garnett,Jason Kidd,Dikembe Mutombo,Gary Payton,
2000-01,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Bruce Bowen,P.J. Brown,Kobe Bryant,Doug Christie,Shaquille O'Neal,
1999-00,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kobe Bryant,Tim Duncan,Kevin Garnett,Alonzo Mourning,Gary Payton,
1999-00,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Eddie Jones,Jason Kidd,Shaquille O'Neal,Scottie Pippen,Clifford Robinson,
1998-99,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Tim Duncan,Jason Kidd,Alonzo Mourning,Gary Payton,Karl Malone Scottie Pippen (T),
1998-99,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,P.J. Brown,Eddie Jones,Dikembe Mutombo,Theo Ratliff,
1997-98,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Jordan,Karl Malone,Dikembe Mutombo,Gary Payton,Scottie Pippen,
1997-98,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,Tim Duncan,Eddie Jones,Charles Oakley,David Robinson,
1996-97,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Jordan,Karl Malone,Dikembe Mutombo,Gary Payton,Scottie Pippen,
1996-97,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,P.J. Brown,Anthony Mason,Hakeem Olajuwon,John Stockton,
1995-96,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Jordan,Gary Payton,Scottie Pippen,David Robinson,Dennis Rodman,
1995-96,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,Horace Grant,Derrick McKey,Hakeem Olajuwon,Bobby Phills,
1994-95,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,Gary Payton,Scottie Pippen,David Robinson,Dennis Rodman,
1994-95,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Horace Grant,Derrick McKey,Nate McMillan,Dikembe Mutombo,John Stockton,
1993-94,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Mookie Blaylock,Charles Oakley,Hakeem Olajuwon,Gary Payton,Scottie Pippen,
1993-94,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Horace Grant,Nate McMillan,David Robinson,Dennis Rodman,Latrell Sprewell,
1992-93,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Joe Dumars,Michael Jordan,Hakeem Olajuwon,Scottie Pippen,Dennis Rodman,
1992-93,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Horace Grant,Dan Majerle,Larry Nance,David Robinson,John Starks,
1991-92,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Joe Dumars,Michael Jordan,Scottie Pippen,David Robinson,Dennis Rodman,
1991-92,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Patrick Ewing,Larry Nance,John Stockton,Buck Williams,Micheal Williams,
1990-91,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Jordan,Alvin Robertson,David Robinson,Dennis Rodman,Buck Williams,
1990-91,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Joe Dumars,Dan Majerle,Hakeem Olajuwon,Scottie Pippen,John Stockton,
1989-90,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Joe Dumars,Michael Jordan,Hakeem Olajuwon,Dennis Rodman,Buck Williams,
1989-90,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Derek Harper,Rick Mahorn,Kevin McHale,Alvin Robertson,David Robinson,
1988-89,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Joe Dumars,Mark Eaton,Michael Jordan,Larry Nance,Dennis Rodman,
1988-89,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Patrick Ewing,A.C. Green,Kevin McHale,Alvin Robertson,John Stockton,
1987-88,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Cooper,Michael Jordan,Rodney McCray,Kevin McHale,Hakeem Olajuwon,
1987-88,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Fat Lever,Karl Malone,Alvin Robertson,Buck Williams,Mark Eaton Patrick Ewing (T),
1986-87,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Cooper,Dennis Johnson,Kevin McHale,Hakeem Olajuwon,Alvin Robertson,
1986-87,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Maurice Cheeks,Mark Eaton,Derek Harper,Rodney McCray,Paul Pressey,
1985-86,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Maurice Cheeks,Mark Eaton,Kevin McHale,Sidney Moncrief,Paul Pressey,
1985-86,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Manute Bol,Michael Cooper,Bill Hanzlik,Dennis Johnson,Alvin Robertson,
1984-85,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Maurice Cheeks,Michael Cooper,Mark Eaton,Sidney Moncrief,Paul Pressey,
1984-85,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,T.R. Dunn,Dennis Johnson,Bobby Jones,Hakeem Olajuwon,Danny Vranes,
1983-84,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Maurice Cheeks,Michael Cooper,Bobby Jones,Sidney Moncrief,Tree Rollins,
1983-84,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Larry Bird,T.R. Dunn,Dennis Johnson,Dan Roundfield,
1982-83,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Bobby Jones,Moses Malone,Sidney Moncrief,Dan Roundfield,Maurice Cheeks Dennis Johnson (T),
1982-83,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Larry Bird,Michael Cooper,T.R. Dunn,Kevin McHale,Tree Rollins,
1981-82,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Michael Cooper,Dennis Johnson,Bobby Jones,Caldwell Jones,Dan Roundfield,
1981-82,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Larry Bird,Quinn Buckner,Sidney Moncrief,Lonnie Shelton,Jack Sikma,
1980-81,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Caldwell Jones,Michael Ray Richardson,
1980-81,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Quinn Buckner,George Johnson,Dan Roundfield,Kermit Washington,Dudley Bradley Michael Cooper (T),
1979-80,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Dennis Johnson,Bobby Jones,Dan Roundfield,Don Buse Michael Ray Richardson (T),
1979-80,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Quinn Buckner,Dave Cowens,Eddie Johnson,Kermit Washington,Scott Wedman,
1978-79,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Don Buse,Bob Dandridge,Dennis Johnson,Bobby Jones,
1978-79,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,M.L. Carr,Lionel Hollins,Eddie Johnson,Maurice Lucas,Moses Malone,
1977-78,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Don Buse,Lionel Hollins,Bobby Jones,Maurice Lucas,Bill Walton,
1977-78,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Quinn Buckner,E.C. Coleman,Bob Gross,Norm Van Lier,Kareem Abdul-Jabbar Artis Gilmore (T),
1976-77,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Don Buse,E.C. Coleman,Bobby Jones,Norm Van Lier,Bill Walton,
1976-77,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Jim Brewer,Don Chaney,Brian Taylor,Jamaal Wilkes,
1975-76,NBA,,(V),,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Dave Cowens,John Havlicek,Paul Silas,Norm Van Lier,Slick Watts,
1975-76,NBA,,(V),,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,Kareem Abdul-Jabbar,Jim Brewer,Jim Cleamons,Phil Smith,Jamaal Wilkes,
1975-76,ABA,,,,1st,,,,,,,,,,,,,,all_defense_teams,,,,,Don Buse,Julius Erving,Artis Gilmore,Bobby Jones,Brian Taylor,
1975-76,ABA,,,,2nd,,,,,,,,,,,,,,all_defense_teams,,,,,,,,,,
