SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2017-18,201567,Kevin Love,Kevin,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,27.725,3.5,6.9,5.2,6.9,13.9,29.4,8.7,38.1,0.0,3.5,3.5,3.5,49.9,1,856,856,856,706,547,151,283,802,841,1653,707,1130,540,1619,793,785,480,1,27:44
2017-18,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,28.491666666666667,0.0,11.8,0.0,3.4,8.4,18.5,6.7,40.4,0.0,1.7,5.1,0.0,25.6,1,1,1,1,679,735,51,600,1098,486,1398,584,1036,540,1367,1138,1191,1263,1,28:30
2017-18,203918,Rodney Hood,Rodney,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,26.525,3.6,0.0,0.0,7.2,3.6,16.3,0.0,29.0,1.8,7.2,3.6,3.6,53.6,1,856,856,856,751,527,632,600,779,271,1290,1,1455,345,1703,830,759,391,1,26:32
2017-18,1627790,Ante Zizic,Ante,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,1.6666666666666667,0.0,57.6,0.0,57.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.8,1,856,856,856,1675,735,1,600,6,1,1,1,1663,540,1,1,1191,4,1,1:40
2017-18,201580,JaVale McGee,JaVale,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,16.466666666666665,0.0,5.8,0.0,17.5,5.8,11.7,8.7,29.1,2.9,0.0,2.9,5.8,36.7,1,1,1,1,1153,735,235,600,220,355,960,712,1448,176,1,671,412,891,1,16:28
2017-18,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,26.575,0.0,0.0,1.8,0.0,14.4,25.3,9.0,47.0,0.0,3.6,5.4,5.4,25.1,1,856,856,856,748,735,632,592,1194,881,1606,740,725,540,1629,1205,476,1274,1,26:35
2017-18,201939,Stephen Curry,Stephen,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,38.748333333333335,6.2,2.5,3.7,9.9,13.6,21.1,9.9,39.6,3.7,1.2,5.0,7.4,82.0,1,1,1,1,183,257,574,409,595,824,1515,809,1076,102,1211,1119,246,56,1,38:45
2017-18,1626204,Larry Nance Jr.,Larry,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,23.198333333333334,0.0,6.2,0.0,12.4,4.1,10.3,0.0,33.1,2.1,2.1,8.3,6.2,59.2,1,856,856,856,886,735,206,600,447,287,850,1,1310,306,1431,1511,361,275,1,23:12
2017-18,2594,Kyle Korver,Kyle,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,20.7,0.0,4.6,0.0,0.0,4.6,4.6,0.0,37.1,0.0,0.0,4.6,2.3,8.6,1,856,856,856,979,735,336,600,1194,305,399,1,1157,540,1,1057,1002,1598,1,20:42
2017-18,2544,LeBron James,LeBron,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,40.56,5.9,0.0,4.7,14.2,11.8,20.1,5.9,40.2,1.2,1.2,5.9,10.7,47.8,1,856,856,856,100,284,632,318,342,707,1484,528,1051,509,1187,1272,79,542,1,40:34
