team_id,team_name,team,gp,g,freq,fgm_lt_06,fga_lt_06,lt_06_pct,ns_lt_06_pct,plusminus
1610612747,Los Angeles Lakers,LAL,5,5,0.37,18.2,32.2,0.565,0.631,-0.066
1610612760,Oklahoma City Thunder,OKC,17,17,0.292,14.71,25.41,0.579,0.641,-0.062
1610612738,Boston Celtics,BOS,11,11,0.308,15.18,26.27,0.578,0.631,-0.053
1610612746,LA Clippers,LAC,7,7,0.39,19.86,33.29,0.597,0.649,-0.052
1610612765,Detroit Pistons,DET,6,6,0.313,16.17,27.5,0.588,0.635,-0.047
1610612754,Indiana Pacers,IND,17,17,0.337,18.06,29.71,0.608,0.647,-0.039
1610612752,New York Knicks,NYK,18,18,0.311,16.56,26.39,0.627,0.649,-0.022
1610612753,Orlando Magic,ORL,5,5,0.349,17.2,27.2,0.632,0.653,-0.021
1610612744,Golden State Warriors,GSW,12,12,0.366,17.92,30.17,0.594,0.611,-0.017
1610612745,Houston Rockets,HOU,7,7,0.31,15.71,26.86,0.585,0.598,-0.013
1610612743,Denver Nuggets,DEN,14,14,0.333,18.86,29.5,0.639,0.638,0.002
1610612750,Minnesota Timberwolves,MIN,15,15,0.308,16.4,25.73,0.637,0.632,0.005
1610612763,Memphis Grizzlies,MEM,4,4,0.285,17.75,27.25,0.651,0.642,0.009
1610612749,Milwaukee Bucks,MIL,5,5,0.279,16.4,24.4,0.672,0.663,0.009
1610612748,Miami Heat,MIA,4,4,0.307,18.25,26.25,0.695,0.661,0.034
1610612739,Cleveland Cavaliers,CLE,9,9,0.272,15.78,22.67,0.696,0.652,0.044
