season,team_id,team,game_id,game_date,away_team,home_team,opponent_id,pf,opp_pf,wl,differential,round,game_no_in_series
2015-16,1610612737,ATL,41500131,2016-04-16,BOS,ATL,1610612738,102,101,W,1,rnd1,1
2015-16,1610612737,ATL,41500132,2016-04-19,BOS,ATL,1610612738,89,72,W,17,rnd1,2
2015-16,1610612737,ATL,41500133,2016-04-22,ATL,BOS,1610612738,103,111,L,-8,rnd1,3
2015-16,1610612737,ATL,41500134,2016-04-24,ATL,BOS,1610612738,95,104,L,-9,rnd1,4
2015-16,1610612737,ATL,41500135,2016-04-26,BOS,ATL,1610612738,110,83,W,27,rnd1,5
2015-16,1610612737,ATL,41500136,2016-04-28,ATL,BOS,1610612738,104,92,W,12,rnd1,6
2015-16,1610612737,ATL,41500201,2016-05-02,ATL,CLE,1610612739,93,104,L,-11,sf,1
2015-16,1610612737,ATL,41500202,2016-05-04,ATL,CLE,1610612739,98,123,L,-25,sf,2
2015-16,1610612737,ATL,41500203,2016-05-06,CLE,ATL,1610612739,108,121,L,-13,sf,3
2015-16,1610612737,ATL,41500204,2016-05-08,CLE,ATL,1610612739,99,100,L,-1,sf,4
2015-16,1610612738,BOS,41500131,2016-04-16,BOS,ATL,1610612737,101,102,L,-1,rnd1,1
2015-16,1610612738,BOS,41500132,2016-04-19,BOS,ATL,1610612737,72,89,L,-17,rnd1,2
2015-16,1610612738,BOS,41500133,2016-04-22,ATL,BOS,1610612737,111,103,W,8,rnd1,3
2015-16,1610612738,BOS,41500134,2016-04-24,ATL,BOS,1610612737,104,95,W,9,rnd1,4
2015-16,1610612738,BOS,41500135,2016-04-26,BOS,ATL,1610612737,83,110,L,-27,rnd1,5
2015-16,1610612738,BOS,41500136,2016-04-28,ATL,BOS,1610612737,92,104,L,-12,rnd1,6
2015-16,1610612766,CHA,41500121,2016-04-17,CHA,MIA,1610612748,91,123,L,-32,rnd1,1
2015-16,1610612766,CHA,41500122,2016-04-20,CHA,MIA,1610612748,103,115,L,-12,rnd1,2
2015-16,1610612766,CHA,41500123,2016-04-23,MIA,CHA,1610612748,96,80,W,16,rnd1,3
2015-16,1610612766,CHA,41500124,2016-04-25,MIA,CHA,1610612748,89,85,W,4,rnd1,4
2015-16,1610612766,CHA,41500125,2016-04-27,CHA,MIA,1610612748,90,88,W,2,rnd1,5
