GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203932,Aaron Gordon,Aaron,1610612753,ORL,22.0,27,9,18,0.333,50.0,0.0,5.1,2.5,6.3,16.5,12.0,11.4,41.8,0.6,1.9,4.4,7.0,48.1,122,182,386,342,77,233,51,77,163,336,224,370,154,191,375,192,98,96
Players,1626151,Aaron Harrison,Aaron,1610612742,DAL,23.0,5,2,3,0.4,46.8,9.4,6.3,9.4,6.3,12.5,6.3,0.0,56.3,3.1,0.0,6.3,9.4,32.5,335,329,114,299,179,12,33,8,164,225,114,1,28,49,1,297,45,237
Players,1627846,Abdel Nader,Abdel,1610612738,BOS,24.0,2,0,2,0.0,55.1,14.3,0.0,0.0,14.3,14.3,0.0,14.3,42.9,0.0,0.0,7.1,0.0,22.9,380,404,75,404,22,6,236,179,43,279,1,399,130,228,1,337,332,328
Players,201143,Al Horford,Al,1610612738,BOS,32.0,37,24,13,0.649,46.4,1.7,0.0,0.3,4.1,21.0,15.9,10.2,42.7,1.4,0.7,4.4,1.7,39.8,44,12,305,75,197,185,236,177,225,404,334,343,137,120,289,190,304,167
Players,2744,Al Jefferson,Al,1610612754,IND,33.0,2,1,1,0.5,73.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,380,354,27,198,5,233,236,179,300,448,1,1,1,228,1,1,332,403
Players,202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,27.0,31,17,14,0.548,49.2,1.7,0.8,0.8,1.7,11.6,15.4,7.5,40.7,1.2,0.4,3.7,1.7,31.2,87,70,319,163,99,188,229,159,288,205,318,277,167,124,257,152,310,258
Players,202692,Alec Burks,Alec,1610612762,UTA,26.0,5,1,4,0.2,48.1,9.1,0.0,0.0,12.1,21.2,27.3,6.1,48.5,0.0,3.0,6.1,9.1,32.7,335,354,141,388,133,14,236,179,65,405,431,219,64,228,418,285,48,235
Players,203518,Alex Abrines,Alex,1610612760,OKC,24.0,24,10,14,0.417,39.9,0.0,3.8,5.7,3.8,3.8,7.5,5.7,41.5,0.0,0.0,11.3,3.8,30.6,151,167,319,294,376,233,94,23,235,86,129,207,156,228,1,419,210,267
Players,1627936,Alex Caruso,Alex,1610612747,LAL,24.0,6,3,3,0.5,42.8,0.0,0.0,0.0,0.0,28.1,12.5,18.8,56.3,3.1,6.3,3.1,0.0,8.4,317,305,114,198,327,233,236,179,300,433,234,426,28,49,445,123,332,392
Players,203458,Alex Len,Alex,1610612756,PHX,25.0,16,9,7,0.563,45.3,0.0,0.0,0.0,3.3,18.0,26.2,13.1,52.5,8.2,1.6,4.9,3.3,52.1,233,182,197,146,239,233,236,179,251,362,429,388,41,8,358,223,227,75
