SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2017-18,1626172,Kevon Looney,Kevon,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,2.783333333333333,12.9,25.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,12.9,0.0,0.0,0.0,0.0,12.9,0.0,0.0,25.9,-25.9,41.4,0,0,38.8,1,1,875,1,1618,65,42,508,820,1187,820,893,951,893,14,1417,169,1144,986,753,540,4,1400,1191,185,1507,356,163,11,356,1,2:47
2017-18,201142,Kevin Durant,Kevin,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,37.626666666666665,6.7,16.3,0.412,0.0,2.9,0.0,5.7,5.7,1.0,1.0,10.5,11.5,9.6,1.9,1.0,2.9,1.0,2.9,5.7,19.1,28.7,56.8,1,1,47.8,1,1,875,1,225,532,367,891,820,949,820,224,330,1,730,147,238,70,639,669,97,505,849,228,460,123,83,1,1,135,1,37:38
2017-18,201156,Nick Young,Nick,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,8.975,4.0,16.0,0.25,4.0,16.0,0.25,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,12.0,28.1,16.8,0,0,20.1,1,1,875,1,1405,988,384,1256,151,21,634,893,951,893,791,899,1093,1144,986,753,540,583,534,1191,928,125,1352,163,11,1199,1,8:59
2017-18,203110,Draymond Green,Draymond,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,38.608333333333334,3.7,7.5,0.5,0.9,4.7,0.2,0.0,0.0,0.0,0.9,1.9,2.8,8.4,0.9,0.9,2.8,0.0,4.7,0.9,8.4,14.0,34.6,0,0,28.0,1,1,875,1,185,1045,1251,508,772,670,728,893,951,893,739,1287,1269,115,949,684,101,583,403,1176,1187,380,597,163,11,810,1,38:37
2017-18,2585,Zaza Pachulia,Zaza,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,2.783333333333333,0.0,12.9,0.0,0.0,0.0,0.0,25.9,25.9,1.0,0.0,12.9,12.9,0.0,12.9,0.0,0.0,0.0,0.0,12.9,25.9,-25.9,28.5,0,0,38.8,1,1,875,1,1618,1410,670,1410,820,1187,820,5,10,1,791,73,169,1144,11,753,540,583,1400,13,185,1507,853,163,11,356,1,2:47
2017-18,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,16.2,6.7,11.1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,8.9,0.0,0.0,0.0,2.2,2.2,0.0,4.4,13.3,-46.7,30.7,0,0,26.7,1,856,1,856,1166,535,876,334,820,1187,820,893,951,893,161,824,436,1144,986,753,170,167,1400,396,828,1647,759,163,11,890,1,16:12
2017-18,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,22.675,6.4,12.7,0.5,4.8,9.5,0.5,0.0,0.0,0.0,1.6,1.6,3.2,0.0,0.0,3.2,3.2,1.6,4.8,4.8,17.5,17.5,40.3,0,0,38.1,1,1,875,1,909,583,696,508,94,146,211,893,951,893,542,1334,1216,1144,986,155,78,292,382,340,547,306,385,163,11,385,1,22:41
2017-18,2594,Kyle Korver,Kyle,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,20.7,0.0,10.4,0.0,0.0,8.7,0.0,3.5,5.2,0.667,0.0,1.7,1.7,1.7,1.7,0.0,0.0,0.0,3.5,1.7,3.5,-1.7,6.4,0,0,7.0,1,856,1,856,979,1410,947,1410,820,193,820,444,376,599,791,1313,1426,929,701,753,540,583,673,1002,1427,902,1598,163,11,1590,1,20:42
2017-18,1626224,Cedi Osman,Cedi,1610612739,CLE,Cleveland Cavaliers,0041700404,2018-06-08T00:00:00,CLE vs. GSW,L,4.05,8.9,26.7,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.8,17.8,17.8,0,0,17.8,1,856,1,856,1558,262,37,1065,820,1187,820,893,951,893,791,1417,1488,1144,986,753,540,583,1400,1191,531,295,1321,163,11,1311,1,4:03
2017-18,1627775,Patrick McCaw,Patrick,1610612744,GSW,Golden State Warriors,0041700404,2018-06-08T00:00:00,GSW @ CLE,W,2.783333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,12.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.9,15.5,0,0,12.9,1,1,875,1,1618,1410,1582,1410,820,1187,820,893,951,893,14,1417,169,1144,986,753,540,583,1400,1191,1466,1507,1403,163,11,1472,1,2:47
