PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,TRAVEL,DOUBLE_DRIBBLE,DISCONTINUED_DRIBBLE,OFF_THREE_SEC,INBOUND,BACKCOURT,OFF_GOALTENDING,PALMING,OFF_FOUL,DEF_THREE_SEC,CHARGE,DEF_GOALTENDING,LANE,JUMP_BALL,KICKED_BALL,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,TRAVEL_RANK,DOUBLE_DRIBBLE_RANK,DISCONTINUED_DRIBBLE_RANK,OFF_THREE_SEC_RANK,INBOUND_RANK,BACKCOURT_RANK,OFF_GOALTENDING_RANK,PALMING_RANK,OFF_FOUL_RANK,DEF_THREE_SEC_RANK,CHARGE_RANK,DEF_GOALTENDING_RANK,LANE_RANK,JUMP_BALL_RANK,KICKED_BALL_RANK
203932,Aaron Gordon,Aaron,1610612753,ORL,24.0,62,30,32,0.484,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,123,152,397,247,109,5,5,26,2,9,15,7,59,53,30,66,6,1,112
1628988,Aaron Holiday,Aaron,1610612754,IND,23.0,66,42,24,0.636,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,70,51,299,103,27,5,5,26,2,9,15,7,233,53,188,66,6,1,112
1627846,Abdel Nader,Abdel,1610612760,OKC,26.0,55,37,18,0.673,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,220,91,216,77,27,5,5,26,2,9,15,7,233,53,30,66,6,1,112
1629690,Adam Mokoka,Adam,1610612741,CHI,21.0,11,3,8,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,441,462,103,473,348,5,5,26,2,9,15,7,412,53,188,66,6,1,112
1629678,Admiral Schofield,Admiral,1610612764,WAS,23.0,33,9,24,0.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346,386,299,473,348,5,5,26,2,9,15,7,412,53,188,66,6,1,112
201143,Al Horford,Al,1610612755,PHI,34.0,67,39,28,0.582,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.0,0.0,0.1,59,74,354,178,109,5,5,26,2,9,15,7,118,7,188,66,6,1,13
202329,Al-Farouq Aminu,Al-Farouq,1610612753,ORL,29.0,18,7,11,0.389,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.1,411,414,131,356,27,5,5,26,2,9,15,7,118,53,30,66,6,1,13
202692,Alec Burks,Alec,1610612755,PHI,28.0,66,21,45,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,70,235,520,426,348,5,5,26,2,9,15,7,118,53,188,66,6,1,112
1629346,Alen Smailagic,Alen,1610612744,GSW,19.0,14,1,13,0.071,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,427,501,153,517,109,5,5,3,2,9,15,7,233,53,30,66,6,1,112
1627936,Alex Caruso,Alex,1610612747,LAL,26.0,64,48,16,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,15,194,32,348,5,5,26,2,9,15,7,412,53,188,66,6,1,112
