player,team,number,position,height,weight,last_attended,country,birthdate,profile_url,is_active,is_free_agent,is_retired,experience,headshot_url,legacy,pid,position_list,position_primary,position_alt,draft_year,draft_round,draft_pick,draft_status,player_id
Alaa Abdelnaby,RET,30,FORWARD,82.0,240.0,Duke,USA,1968-06-24,https://www.nba.com/player/76001/HISTADD-alaa-abdelnaby,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76001.png,True,76001,['FORWARD'],FORWARD,,1990,1,25,Drafted,abdelal01
Zaid Abdul-Aziz,RET,54,CENTER,81.0,235.0,Iowa State,USA,1946-04-07,https://www.nba.com/player/76002/HISTADD-zaid-abdul-aziz,False,False,True,10.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76002.png,True,76002,['CENTER'],CENTER,,1968,1,5,Drafted,abdulza01
Kareem Abdul-Jabbar,RET,33,CENTER,86.0,225.0,UCLA,USA,1947-04-16,https://www.nba.com/player/76003/HISTADD-kareem-abdul-jabbar,False,False,True,20.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76003.png,True,76003,['CENTER'],CENTER,,1969,1,1,Drafted,abdulka01
Mahmoud Abdul-Rauf,RET,1,GUARD,73.0,162.0,Louisiana State,USA,1969-03-09,https://www.nba.com/player/51/mahmoud-abdul-rauf,False,False,True,9.0,https://cdn.nba.com/headshots/nba/latest/1040x760/51.png,False,51,['GUARD'],GUARD,,1990,1,3,Drafted,abdulma01
Tariq Abdul-Wahad,RET,9,FORWARD-GUARD,78.0,235.0,San Jose State,France,1974-11-03,https://www.nba.com/player/1505/tariq-abdul-wahad,False,False,True,7.0,https://cdn.nba.com/headshots/nba/latest/1040x760/1505.png,False,1505,"['FORWARD', 'GUARD']",FORWARD,GUARD,1997,1,11,Drafted,abdulta01
Shareef Abdur-Rahim,RET,3,FORWARD,81.0,245.0,California,USA,1976-12-11,https://www.nba.com/player/949/shareef-abdur-rahim,False,False,True,13.0,https://cdn.nba.com/headshots/nba/latest/1040x760/949.png,False,949,['FORWARD'],FORWARD,,1996,1,3,Drafted,abdursh01
Tom Abernethy,RET,5,FORWARD,79.0,220.0,Indiana,USA,1954-05-06,https://www.nba.com/player/76005/HISTADD-tom-abernethy,False,False,True,5.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76005.png,True,76005,['FORWARD'],FORWARD,,1976,1,43,Drafted,abernto01
Forest Able,RET,6,GUARD,75.0,180.0,Western Kentucky,USA,1932-07-27,https://www.nba.com/player/76006/HISTADD-frosty-able,False,False,True,1.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76006.png,True,76006,['GUARD'],GUARD,,1956,1,,Drafted,ablefo010
John Abramovic,RET,,FORWARD,75.0,195.0,Salem,USA,1919-02-09,https://www.nba.com/player/76007/HISTADD-brooms-abramovic,False,False,True,2.0,https://cdn.nba.com/headshots/nba/latest/1040x760/76007.png,True,76007,['FORWARD'],FORWARD,,0,0,0,UDF,abramjo01
Alex Abrines,RET,,GUARD,78.0,200.0,FC Barcelona,Spain,1993-08-01,https://www.nba.com/player/203518/alex-abrines,False,False,True,3.0,https://cdn.nba.com/headshots/nba/latest/1040x760/203518.png,False,203518,['GUARD'],GUARD,,2013,2,32,Drafted,abrinal01
