CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1627826,Ivica Zubac,1610612746,LAC,C,28.0,7,7,1.0,11.0,22.57,0.487,0.52,-0.032
1629029,Luka Dončić,1610612747,LAL,F-G,26.0,5,5,1.0,9.6,21.0,0.457,0.477,-0.019
203999,Nikola Jokić,1610612743,DEN,C,30.0,14,14,1.0,9.93,20.36,0.488,0.508,-0.02
1630559,Austin Reaves,1610612747,LAL,G,27.0,5,5,1.0,7.4,19.4,0.381,0.462,-0.081
1629060,Rui Hachimura,1610612747,LAL,F,27.0,5,5,1.0,8.4,19.2,0.438,0.478,-0.04
1631128,Christian Braun,1610612743,DEN,G,24.0,14,14,1.0,8.0,18.86,0.424,0.479,-0.055
1631094,Paolo Banchero,1610612753,ORL,F,22.0,5,5,1.0,9.4,18.2,0.516,0.466,0.051
1641744,Zach Edey,1610612763,MEM,C,23.0,4,4,1.0,9.25,18.0,0.514,0.515,-0.001
1627750,Jamal Murray,1610612743,DEN,G,28.0,14,14,1.0,8.79,18.0,0.488,0.483,0.005
203110,Draymond Green,1610612744,GSW,F,35.0,12,12,1.0,7.33,17.67,0.415,0.477,-0.062
1631105,Jalen Duren,1610612765,DET,C,21.0,6,6,1.0,6.67,17.0,0.392,0.502,-0.11
1626157,Karl-Anthony Towns,1610612752,NYK,C-F,29.0,18,18,1.0,7.78,16.67,0.467,0.49,-0.024
1630595,Cade Cunningham,1610612765,DET,G,23.0,6,6,1.0,7.5,16.33,0.459,0.48,-0.021
201143,Al Horford,1610612738,BOS,C-F,39.0,11,11,1.0,5.91,16.0,0.369,0.476,-0.107
1628973,Jalen Brunson,1610612752,NYK,G,28.0,18,18,1.0,7.61,15.72,0.484,0.463,0.021
1629639,Tyler Herro,1610612748,MIA,G,25.0,4,4,1.0,8.75,15.5,0.565,0.464,0.101
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,18,18,1.0,7.0,15.5,0.452,0.498,-0.046
1626167,Myles Turner,1610612754,IND,C-F,29.0,18,18,1.0,7.06,15.17,0.465,0.52,-0.054
203497,Rudy Gobert,1610612750,MIN,C,32.0,15,15,1.0,6.53,14.93,0.438,0.488,-0.051
1628386,Jarrett Allen,1610612739,CLE,C,27.0,9,9,1.0,6.89,14.89,0.463,0.489,-0.026
1630596,Evan Mobley,1610612739,CLE,C,23.0,8,8,1.0,7.25,14.88,0.487,0.485,0.003
1627832,Fred VanVleet,1610612745,HOU,G,31.0,7,7,1.0,7.0,14.86,0.471,0.428,0.043
1630578,Alperen Sengun,1610612745,HOU,C,22.0,7,7,1.0,5.57,14.86,0.375,0.445,-0.07
1628401,Derrick White,1610612738,BOS,G,30.0,11,11,1.0,6.73,14.82,0.454,0.465,-0.011
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,5,5,1.0,6.2,14.4,0.431,0.462,-0.032
1628991,Jaren Jackson Jr.,1610612763,MEM,F-C,25.0,4,4,1.0,5.5,14.25,0.386,0.485,-0.099
1630590,Scotty Pippen Jr.,1610612763,MEM,G,24.0,4,4,1.0,7.75,14.0,0.554,0.489,0.064
1629614,Andrew Nembhard,1610612754,IND,G-F,25.0,18,18,1.0,6.0,13.94,0.43,0.479,-0.049
1628404,Josh Hart,1610612752,NYK,G,30.0,18,18,1.0,6.39,13.94,0.458,0.478,-0.019
1628415,Dillon Brooks,1610612745,HOU,G-F,29.0,7,7,1.0,6.43,13.86,0.464,0.449,0.015
1628384,OG Anunoby,1610612752,NYK,F-G,27.0,18,18,1.0,5.89,13.83,0.426,0.472,-0.047
201935,James Harden,1610612746,LAC,G,35.0,7,7,1.0,6.86,13.71,0.5,0.515,-0.015
203471,Dennis Schröder,1610612765,DET,G,31.0,6,6,1.0,7.0,13.67,0.512,0.472,0.04
1627783,Pascal Siakam,1610612754,IND,F,31.0,18,18,1.0,6.39,13.61,0.469,0.504,-0.035
1630183,Jaden McDaniels,1610612750,MIN,F,24.0,15,15,1.0,6.13,13.6,0.451,0.469,-0.018
1626171,Bobby Portis,1610612749,MIL,F,30.0,5,5,1.0,5.2,13.6,0.382,0.486,-0.104
202699,Tobias Harris,1610612765,DET,F,32.0,6,6,1.0,5.17,13.5,0.383,0.504,-0.121
1630558,Davion Mitchell,1610612748,MIA,G,26.0,4,4,1.0,5.75,13.5,0.426,0.457,-0.031
1630169,Tyrese Haliburton,1610612754,IND,G,25.0,18,18,1.0,6.06,13.44,0.45,0.473,-0.023
1628983,Shai Gilgeous-Alexander,1610612760,OKC,G,26.0,18,18,1.0,5.83,13.22,0.441,0.484,-0.043
1628969,Mikal Bridges,1610612752,NYK,G-F,28.0,18,18,1.0,5.39,12.61,0.427,0.476,-0.048
203932,Aaron Gordon,1610612743,DEN,F,29.0,14,14,1.0,5.36,12.57,0.426,0.486,-0.06
1628389,Bam Adebayo,1610612748,MIA,C-F,27.0,4,4,1.0,6.0,12.5,0.48,0.544,-0.064
203944,Julius Randle,1610612750,MIN,F-C,30.0,15,15,1.0,5.53,12.2,0.454,0.482,-0.029
1629645,Kevin Porter Jr.,1610612749,MIL,G-F,25.0,5,5,1.0,5.8,12.2,0.475,0.492,-0.017
1629622,Max Strus,1610612739,CLE,G-F,29.0,9,9,1.0,5.44,12.11,0.45,0.482,-0.032
1630191,Isaiah Stewart,1610612765,DET,F-C,24.0,1,1,1.0,6.0,12.0,0.5,0.508,-0.008
1630583,Santi Aldama,1610612763,MEM,F-C,24.0,4,4,1.0,4.5,12.0,0.375,0.479,-0.104
1630217,Desmond Bane,1610612763,MEM,G,26.0,4,4,1.0,4.75,12.0,0.396,0.489,-0.093
201950,Jrue Holiday,1610612738,BOS,G,34.0,8,8,1.0,4.63,12.0,0.385,0.479,-0.094
1627759,Jaylen Brown,1610612738,BOS,G-F,28.0,11,11,1.0,5.36,11.91,0.45,0.469,-0.019
203507,Giannis Antetokounmpo,1610612749,MIL,F,30.0,5,5,1.0,5.0,11.8,0.424,0.49,-0.067
1627827,Dorian Finney-Smith,1610612747,LAL,F,32.0,5,5,1.0,4.6,11.8,0.39,0.452,-0.063
