SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2016-17,2738,Andre Iguodala,Andre,1610612744,GSW,Golden State Warriors,0041600405,2017-06-12T00:00:00,GSW vs. CLE,W,38.11666666666667,1.9,0.0,1.9,13.2,10.4,15.1,19.8,39.7,0.0,0.0,0.9,0.0,26.7,1,1,1,1,197,636,629,515,194,818,1448,1526,383,514,1,410,1177,965,1,38:07
2016-17,2594,Kyle Korver,Kyle,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,17.8,6.1,0.0,0.0,0.0,12.1,8.1,8.1,40.4,0.0,0.0,6.1,2.0,4.0,1,873,873,873,1036,184,629,580,1173,976,851,856,348,514,1,1479,892,1628,1,17:48
2016-17,2544,LeBron James,LeBron,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,46.21666666666667,9.3,3.1,6.2,23.4,16.4,11.7,12.5,38.9,0.8,0.0,2.3,4.7,58.9,1,873,873,873,4,63,383,150,32,1314,1217,1199,410,513,1,726,357,64,1,46:13
2016-17,2733,Shaun Livingston,Shaun,1610612744,GSW,Golden State Warriors,0041600405,2017-06-12T00:00:00,GSW vs. CLE,W,10.033333333333333,0.0,0.0,0.0,7.2,10.8,32.3,28.7,28.7,0.0,0.0,7.2,3.6,17.9,1,1,1,1,1348,702,629,580,584,858,1718,1665,1052,514,1,1544,560,1335,1,10:02
2016-17,202684,Tristan Thompson,Tristan,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,29.866666666666667,2.4,9.6,2.4,14.5,15.7,10.8,16.9,38.6,1.2,1.2,1.2,6.0,38.7,1,873,873,873,563,548,49,440,147,1275,1147,1419,432,356,1390,472,219,449,1,29:52
2016-17,101114,Deron Williams,Deron,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,12.4,0.0,0.0,0.0,0.0,26.1,17.4,14.5,23.2,0.0,0.0,2.9,0.0,18.6,1,873,873,873,1257,702,629,580,1173,1639,1550,1309,1356,514,1,890,1177,1315,1,12:24
2016-17,202691,Klay Thompson,Klay,1610612744,GSW,Golden State Warriors,0041600405,2017-06-12T00:00:00,GSW vs. CLE,W,34.083333333333336,3.2,3.2,0.0,0.0,20.1,14.8,21.1,57.0,1.1,1.1,4.2,1.1,27.5,1,1,1,1,378,445,375,580,1173,1501,1431,1556,67,404,1322,1222,1134,938,1,34:05
2016-17,2747,JR Smith,JR,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,40.81666666666667,5.3,2.6,7.9,1.8,16.8,9.7,14.1,42.3,1.8,0.0,1.8,0.9,31.8,1,873,873,873,78,234,450,93,1161,1338,1028,1289,286,255,1,575,1171,719,1,40:49
2016-17,2440,Matt Barnes,Matt,1610612744,GSW,Golden State Warriors,0041600405,2017-06-12T00:00:00,GSW vs. CLE,W,1.0666666666666667,0.0,0.0,0.0,0.0,101.3,0.0,101.3,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1708,702,629,580,1173,1734,1,1736,1658,514,1,1,1177,1646,1,1:04
2016-17,201567,Kevin Love,Kevin,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,29.916666666666668,0.0,1.2,0.0,4.8,12.0,12.0,10.8,33.7,1.2,1.2,2.4,4.8,28.9,1,873,873,873,560,702,613,580,848,965,1242,1084,696,357,1388,746,336,871,1,29:55
2016-17,202681,Kyrie Irving,Kyrie,1610612739,CLE,Cleveland Cavaliers,0041600405,2017-06-12T00:00:00,CLE @ GSW,L,41.78333333333333,1.7,1.7,3.4,10.3,9.5,11.2,10.3,41.4,0.0,0.0,2.6,5.2,33.9,1,873,873,873,61,671,594,318,340,740,1173,1040,313,514,1,801,299,635,1,41:47
2016-17,1627775,Patrick McCaw,Patrick,1610612744,GSW,Golden State Warriors,0041600405,2017-06-12T00:00:00,GSW vs. CLE,W,11.533333333333333,12.5,6.2,6.2,12.5,15.6,15.6,28.1,43.7,0.0,0.0,6.2,3.1,40.9,1,1,1,1,1296,24,131,149,223,1267,1473,1658,250,514,1,1489,658,375,1,11:32
