player,team,number,position,height,weight,last_attended,country,profile_url,is_active,is_free_agent,is_retired,headshot_url,birthdate,experience,legacy,draft_year,draft_round,draft_pick,draft_status,player_id
Devin Carter,SAC,22,Guard,74.0,195.0,Providence,USA,https://www.nba.com/player/1642269/tmp-devin-carter,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,2024.0,1.0,13.0,Drafted,cartede01
Isaiah Crawford,SAC,24,Forward,78.0,220.0,Louisiana Tech,USA,https://www.nba.com/player/1642384/isaiah-crawford,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,crawfis01
Jae Crowder,SAC,99,Forward,78.0,235.0,Marquette,USA,https://www.nba.com/player/203109/jae-crowder,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,12.0,False,2012.0,2.0,34.0,Drafted,crowdja01
Terence Davis,SAC,3,Guard,76.0,201.0,Mississippi,USA,https://www.nba.com/player/1629056/terence-davis,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/1629056.png,1980-01-01,4.0,False,0.0,0.0,0.0,UDF,daviste01
DeMar DeRozan,SAC,10,Guard-Forward,78.0,220.0,Southern California,USA,https://www.nba.com/player/201942/demar-derozan,True,False,False,https://cdn.nba.com/headshots/nba/latest/1040x760/201942.png,1980-01-01,15.0,False,2009.0,1.0,9.0,Drafted,derozde01
Keon Ellis,SAC,23,Guard,76.0,175.0,Alabama,USA,https://www.nba.com/player/1631165/keon-ellis,True,False,False,https://cdn.nba.com/headshots/nba/latest/260x190/fallback.png,1980-01-01,2.0,False,0.0,0.0,0.0,UDF,elliske01
Markelle Fultz,SAC,20,Guard,76.0,209.0,Washington,USA,https://www.nba.com/player/1628365/markelle-fultz,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,7.0,False,2017.0,1.0,1.0,Drafted,fultzma01
Isaac Jones,SAC,3,Forward,81.0,245.0,Washington State,USA,https://www.nba.com/player/1642403/isaac-jones,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,,False,0.0,0.0,0.0,UDF,jonesis01
Mason Jones,SAC,15,Guard,76.0,200.0,Arkansas,USA,https://www.nba.com/player/1630222/mason-jones,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,3.0,False,0.0,0.0,0.0,UDF,jonesma01
Jake LaRavia,SAC,33,Forward,79.0,235.0,Wake Forest,USA,https://www.nba.com/player/1631222/jake-laravia,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,2.0,False,2022.0,1.0,19.0,Drafted,laravja01
Zach LaVine,SAC,8,Guard,77.0,200.0,UCLA,USA,https://www.nba.com/player/203897/zach-lavine,True,False,False,"data:image/svg+xml;utf8,<svg xmlns='http://www.w3.org/2000/svg' viewBox='0 0 512 512'><circle cx='256' cy='160' r='112' fill='%23A0A0A0'/><path d='M256 304c-106 0-192 78-192 176 0 18 14 32 32 32h320c18 0 32-14 32-32 0-98-86-176-192-176z' fill='%23A0A0A0'/></svg>",1980-01-01,10.0,False,2014.0,1.0,13.0,Drafted,lavinza01
