GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK
Players,203932,Aaron Gordon,Aaron,1610612753,ORL,23.0,43,22,21,0.512,125.715,0.6,2.3,0.6,5.2,16.9,5.7,6.9,26.9,0.9,1.1,4.0,1.4,26.6,11,14,425,176,48,221,134,164,191,386,96,308,340,132,345,248,289,213
Players,1628988,Aaron Holiday,Aaron,1610612754,IND,22.0,4,2,2,0.5,5.316666666666666,0.0,0.0,0.0,13.5,0.0,20.3,13.5,40.6,0.0,0.0,13.5,0.0,0.0,354,331,72,178,367,229,235,182,41,1,401,416,84,217,1,428,329,405
Players,1627846,Abdel Nader,Abdel,1610612760,OKC,25.0,3,2,1,0.667,6.541666666666667,16.5,0.0,0.0,0.0,16.5,22.0,0.0,22.0,0.0,0.0,0.0,0.0,33.0,371,331,19,50,356,6,235,182,315,377,416,1,393,217,1,1,329,138
Players,201143,Al Horford,Al,1610612738,BOS,33.0,38,22,16,0.579,124.33333333333333,2.3,4.3,0.0,5.8,7.2,12.2,7.2,25.5,0.9,0.0,3.8,4.1,39.7,32,14,368,119,50,125,56,182,178,140,294,326,365,131,1,231,146,96
Players,202329,Al-Farouq Aminu,Al-Farouq,1610612757,POR,28.0,35,22,13,0.629,99.92333333333333,1.8,5.8,0.7,3.6,6.5,13.7,6.8,28.1,1.8,0.4,2.9,3.6,37.3,55,14,315,84,85,153,34,156,232,121,322,305,310,57,247,168,180,108
Players,202692,Alec Burks,Alec,1610612758,SAC,27.0,13,7,6,0.538,24.973333333333333,0.0,5.8,2.9,11.5,13.0,21.6,10.1,37.5,0.0,2.9,4.3,5.8,37.6,250,223,179,158,267,229,33,48,57,317,413,388,112,217,424,268,79,106
Players,203518,Alex Abrines,Alex,1610612760,OKC,25.0,7,3,4,0.429,11.868333333333334,0.0,0.0,0.0,0.0,6.1,12.1,9.1,24.3,3.0,0.0,3.0,0.0,37.0,312,301,129,284,313,229,235,182,315,113,292,371,378,26,1,176,329,111
Players,1627936,Alex Caruso,Alex,1610612747,LAL,25.0,6,3,3,0.5,19.01,3.8,0.0,3.8,15.1,15.1,20.8,3.8,18.9,0.0,0.0,3.8,7.6,33.5,327,301,109,178,280,67,235,32,30,364,407,153,402,217,1,233,39,135
Players,203458,Alex Len,Alex,1610612737,ATL,26.0,21,11,10,0.524,67.08666666666667,1.1,2.7,0.5,8.6,5.9,14.5,8.6,39.7,2.7,0.5,7.0,3.8,32.9,168,149,264,170,149,203,111,166,108,107,336,362,93,36,277,367,168,146
Players,1627816,Alex Poythress,Alex,1610612737,ATL,25.0,5,2,3,0.4,6.983333333333333,0.0,0.0,0.0,10.3,5.2,20.6,10.3,30.9,5.2,0.0,15.5,0.0,26.8,340,331,109,308,352,229,235,182,78,98,405,389,245,14,1,437,329,208
