SEASON_YEAR,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,AVAILABLE_FLAG,MIN_SEC
2019-20,1629130,Duncan Robinson,Duncan,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,49.5,4.3,0.0,0.0,0.0,29.0,20.3,20.3,60.9,0.0,0.0,4.3,2.9,19.9,1,853,853,853,610,440,608,570,1152,1550,1464,1476,126,511,1,915,853,1429,1,34:10
2019-20,1629639,Tyler Herro,Tyler,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,51.5,3.4,0.0,5.1,3.4,16.9,15.3,20.3,47.5,0.0,1.7,1.7,1.7,26.4,1,853,853,853,283,552,608,233,1041,1012,1243,1478,504,511,1377,423,1074,1278,1,30:22
2019-20,1628389,Bam Adebayo,Bam,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,50.9,4.8,0.0,2.4,19.3,21.7,16.9,16.9,53.0,2.4,1.2,2.4,10.8,58.4,1,853,853,853,372,398,608,520,126,1327,1329,1372,292,225,1206,520,93,284,1,42:13
2019-20,201162,Jared Dudley,Jared,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,36.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1659,745,608,570,1152,1,1680,1,9,511,1,1,1171,1602,1,1:27
2019-20,202710,Jimmy Butler III,Jimmy,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,51.2,0.0,0.0,0.0,9.2,23.0,18.4,16.1,55.2,1.1,0.0,3.4,3.4,38.4,1,853,853,853,324,745,608,570,561,1385,1393,1339,233,492,1,731,757,878,1,44:32
2019-20,1626188,Quinn Cook,Quinn,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,36.3,0.0,0.0,0.0,0.0,0.0,50.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,1,1,1,1,1659,745,608,570,1152,1,1680,1,9,511,1,1,1171,1602,1,1:27
2019-20,203482,Kelly Olynyk,Kelly,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,57.2,0.0,15.4,0.0,23.1,7.7,15.4,0.0,30.8,3.8,0.0,3.8,0.0,78.5,1,853,853,853,26,745,18,570,72,333,1251,1,1251,98,1,807,1171,66,1,14:52
2019-20,2544,LeBron James,LeBron,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,51.5,7.5,2.5,12.5,25.0,17.5,3.8,10.0,45.0,0.0,1.3,3.8,11.3,77.3,1,1,1,1,273,187,533,24,46,1062,364,933,613,511,1228,792,80,72,1,41:13
2019-20,201980,Danny Green,Danny,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,51.2,0.0,6.3,0.0,4.2,6.3,0.0,4.2,33.3,2.1,0.0,4.2,0.0,44.8,1,1,1,1,328,745,212,570,988,278,1,439,1147,265,1,883,1171,632,1,24:34
2019-20,203484,Kentavious Caldwell-Pope,Kentavious,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,49.2,7.4,7.4,2.9,8.8,20.6,5.9,8.8,50.0,0.0,0.0,7.4,4.4,30.0,1,1,1,1,662,198,148,430,589,1266,506,831,374,511,1,1386,607,1160,1,33:26
2019-20,1627936,Alex Caruso,Alex,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,47.4,0.0,2.9,2.9,5.8,11.6,4.3,8.7,37.7,1.4,1.4,2.9,0.0,29.1,1,1,1,1,987,745,471,434,843,620,389,820,966,383,1314,630,1171,1200,1,32:42
2019-20,200765,Rajon Rondo,Rajon,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,52.4,8.6,0.0,3.4,17.2,19.0,5.2,13.8,55.2,0.0,0.0,1.7,0.0,49.7,1,1,1,1,165,139,608,377,178,1169,450,1209,233,511,1,429,1171,488,1,30:25
2019-20,2738,Andre Iguodala,Andre,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,48.0,0.0,0.0,0.0,0.0,31.8,40.9,27.3,100.0,0.0,0.0,4.5,4.5,5.5,1,853,853,853,861,745,608,570,1152,1597,1676,1616,9,511,1,941,586,1588,1,10:34
2019-20,2730,Dwight Howard,Dwight,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,36.7,0.0,0.0,0.0,0.0,0.0,66.7,0.0,133.3,0.0,0.0,0.0,0.0,100.0,1,1,1,1,1657,745,608,570,1152,1,1693,1,4,511,1,1,1171,15,1,1:06
2019-20,201609,Goran Dragic,Goran,1610612748,MIA,Miami Heat,0041900406,2020-10-11T00:00:00,MIA vs. LAL,L,54.1,0.0,2.9,0.0,11.4,8.6,11.4,5.7,51.4,0.0,0.0,8.6,2.9,45.7,1,853,853,853,86,745,477,570,405,404,971,537,353,511,1,1474,860,603,1,18:56
2019-20,202693,Markieff Morris,Markieff,1610612747,LAL,Los Angeles Lakers,0041900406,2020-10-11T00:00:00,LAL @ MIA,W,53.7,0.0,0.0,0.0,0.0,6.5,3.2,0.0,51.6,0.0,0.0,6.5,3.2,17.4,1,1,1,1,102,745,608,570,1152,288,335,1,348,511,1,1278,798,1474,1,16:38
